Row Labels,Sum of Billing Amount
Velasquez and Sons,45342.83
Velasquez LLC,20550.62
Velazquez LLC,5465.71
Velazquez-Taylor,45334.19
"Velez, Black and Moses",42232.18
Villegas and Sons,31126.57
Vincent LLC,5535
Walker Inc,5770.85
"Walker, Mcmillan and Dorsey",33084.6
"Walker, Underwood and Little",4840.06
Walker-Miller,12218.15
Walker-Richards,18262.65
Walker-Stone,26856.02
Wallace LLC,10303.6
Wallace Ltd,10996.04
Walsh-Chapman,6076.43
Walsh-Smith,43300.66
"Walters, Lindsey and Wong",44946.98
Wang-Shelton,42617.71
Ward and Sons,43158.75
Ward Group,37578.32
Ward Ltd,13860.16
Ward-Walton,34655.89
Warner and Sons,37311.52
"Washington, Anderson and Wilson",20203.92
"Washington, Pacheco and Benton",2906.78
"Watkins, Palmer and Price",16562.28
Watson-Hunter,22582.97
Watson-Martinez,29588.14
Watson-Rice,7244.83
Weaver and Sons,18518.84
Weber Group,36926.25
Weber PLC,14536.12
"West, Price and Perry",20508.84
West-Ali,23934.9
West-Ellis,11298.95
Wheeler-Campbell,16517.23
Whitaker-Miller,42701.93
White and Sons,16394.98
White Group,45337.09
White Inc,28749.73
White-Cox,7936.28
White-Delgado,8017.98
White-Howard,49141.76
White-Miller,25109.41
White-Smith,48348.37
Wilkerson and Sons,24268.7
"Wilkins, Brewer and West",41543.54
Wilkins-Davis,25859.51
"Wilkinson, Watts and Adams",9792.64
Wilkinson-Brown,4579.73
Williams and Sons,24337.05
Williams Group,3970.02
Williams Inc,7560.27
Williams Ltd,46474.34
Williams PLC,31426.61
"Williams, Harris and Garrett",27930.04
"Williams, Morales and Bennett",12938.59
"Williams, Torres and Smith",15929.87
Williams-Browning,36054.62
Williams-Curtis,34164.3
Williams-Gibson,2175.35
Williams-Jackson,35162.46
Williams-Meyer,47697.23
"Williamson, Aguirre and Mcguire",18224.3
Williams-Smith,9516.86
Williams-Vasquez,31866.38
Wilson and Sons,12825.65
Wilson Inc,6827.19
Wilson LLC,35395.1
"Wilson, Hernandez and Gonzalez",5654.93
"Wilson, Johnson and Carr",31696.19
"Wilson, Perez and Davis",28595.26
"Wilson, Perkins and Gomez",23168.12
Wilson-Coleman,46276.47
Wilson-Garza,43943.25
Wilson-Little,43961.3
Wilson-Zimmerman,21189.53
"Wolfe, Morales and Garcia",9904.72
"Wong, Hill and Hall",33074.81
Wong-Brown,34798.48
Woods Group,9221.67
Woods LLC,35846.38
"Woods, Smith and Valdez",49436.9
Wright Group,12574.03
"Wright, Payne and Mayo",13958.47
Wright-Howard,20109.68
Wright-Rodriguez,39475.33
Wyatt LLC,45236.84
Yates Inc,27382.42
York-Hernandez,32756.06
"Young, Hopkins and Wells",4378.88
"Young, Murphy and Gibson",23075.21
"Young, Simmons and Brown",40839.6
Young-Day,41640.83
Zimmerman Ltd,18829.41
Grand Total,25622123.98
